city,year,num_txn,num_cash_txn,total_cash_adj,median_cash_adj,median_non_cash_adj,total_amount_adj,median_amount_adj,num_investor_txn,investor_amount_adj,investor_median_adj,num_investor_cash_txn,investor_cash_adj,investor_cash_median_adj,investor_non_cash_adj,investor_non_cash_median_adj,num_non_investor_txn,non_investor_amount_adj,non_investor_median_adj,num_non_investor_cash_txn,non_investor_cash_adj,non_investor_cash_median_adj,non_investor_non_cash_adj,non_investor_non_cash_median_adj,p_non_investor_cash_amount_adj,p_investor_cash_amount_adj,p_investor_cash_txn,p_non_investor_cash_txn,p_investor_txn,p_non_investor_txn,p_non_investor_only_cash_amount_adj,p_investor_only_cash_amount_adj,p_investor_only_cash_txn,p_non_investor_only_cash_txn
North Reading,2020,264,52,20543836.0,357332.5,,161729688,601693.0,27,12638579.0,412307.0,11,3914166.0,329845.0,8724413.0,516758.0,237,149091109.0,610214.0,41,16629670.0,395815.0,132461439.0,633578.5,80.94724860537244,19.052751394627563,21.153846153846153,78.84615384615384,10.227272727272728,89.77272727272727,11.154031995294904,30.969984837694177,40.74074074074074,17.29957805907173
North Reading,2021,281,52,30072704.0,480472.0,,202799390,668390.0,36,21038535.0,490615.5,17,7750550.0,384378.0,13287985.0,576566.0,245,181760855.0,699354.0,35,22322154.0,523074.0,159438701.0,712700.0,74.22729263055294,25.772707369447055,32.69230769230769,67.3076923076923,12.811387900355871,87.18861209964413,12.281056886533683,36.839779956161394,47.22222222222222,14.285714285714285
North Reading,2022,222,49,21088547.0,430000.0,,154021265,662500.0,29,15103387.0,500000.0,13,5820987.0,420000.0,9282400.0,549950.0,193,138917878.0,700000.0,36,15267560.0,433000.0,123650318.0,740175.0,72.39740130033616,27.60259869966385,26.53061224489796,73.46938775510205,13.063063063063062,86.93693693693693,10.990349276714404,38.54093787042602,44.827586206896555,18.65284974093264
Norwell,2000,136,18,11818690.0,474508.5,,108573586,665318.0,15,10140659.0,796186.0,4,2978833.0,803049.5,7161826.0,594851.0,121,98432927.0,664403.0,14,8839857.0,448335.0,89593070.0,673555.0,74.79557379032701,25.204426209672988,22.22222222222222,77.77777777777779,11.029411764705882,88.97058823529412,8.980589391596574,29.37514218750478,26.666666666666668,11.570247933884298
Norwell,2001,134,19,12873091.0,517229.0,,108445686,701954.0,9,6895644.0,857466.0,5,3278649.0,517229.0,3616995.0,884015.0,125,101550042.0,690784.0,14,9594442.0,552026.0,91955600.0,706250.0,74.53098871125825,25.469011288741765,26.31578947368421,73.68421052631578,6.7164179104477615,93.28358208955224,9.447994122936946,47.54666859252015,55.55555555555556,11.200000000000001
Norwell,2002,145,15,13472748.0,758543.0,,117381535,738357.0,13,13748887.0,820415.0,2,2186023.0,1093011.5,11562864.0,820415.0,132,103632648.0,705698.0,13,11286725.0,758543.0,92345923.0,689286.0,83.77448312697602,16.225516873023974,13.333333333333334,86.66666666666667,8.96551724137931,91.0344827586207,10.89109003564205,15.899636094179842,15.384615384615385,9.848484848484848
Norwell,2003,133,27,18437875.0,628834.0,,104212582,738882.0,14,11718988.0,624041.0,4,2411429.0,499060.0,9307559.0,966049.0,119,92493594.0,751459.0,23,16026446.0,628836.0,76467148.0,758533.5,86.92132905771408,13.07867094228592,14.814814814814813,85.18518518518519,10.526315789473683,89.47368421052632,17.327087538624568,20.577109559289593,28.57142857142857,19.327731092436977
Norwell,2004,189,51,47587632.0,745716.0,,171984630,791373.0,18,15798118.0,739553.0,7,5771732.0,667683.0,10026386.0,754848.0,171,156186512.0,814201.0,44,41815900.0,753325.5,114370612.0,837029.0,87.87136119738003,12.128638802619975,13.725490196078432,86.27450980392157,9.523809523809524,90.47619047619048,26.77305451318357,36.53430111105639,38.88888888888889,25.730994152046783
Norwell,2005,95,22,17973898.0,668114.0,,88885977,811811.0,10,8359060.0,777738.0,4,3060585.0,719222.5,5298475.0,820699.0,85,80526917.0,814773.0,18,14913313.0,668114.0,65613604.0,844253.0,82.97205759151409,17.027942408485906,18.181818181818183,81.81818181818183,10.526315789473683,89.47368421052632,18.519662189476346,36.613985304567734,40.0,21.176470588235293
Norwell,2006,141,42,39711446.0,833263.5,,133618924,859035.0,17,19913247.0,1016525.0,6,6629848.0,809103.5,13283399.0,1063771.0,124,113705677.0,855098.0,36,33081598.0,853308.0,80624079.0,861898.0,83.30494437296491,16.69505562703509,14.285714285714285,85.71428571428571,12.056737588652481,87.94326241134752,29.09406009692902,33.29365622793711,35.294117647058826,29.03225806451613
